currency,gate_apr,okx_loan_rate,okx_daily_rate,okx_total_quota,okx_used_quota,okx_surplus_limit,okx_avail_loan,available,status,binance_loan_rate,best_loan_rate,best_loan_source,net_apr,timestamp
ATH,8.469999999999999,5.00196,0.013704000000000001,3500000.0,0,3500000.0,3500000.0,True,✅ AVAILABLE,0.0,5.00196,OKX,3.4680399999999985,2026-02-05 13:53:09
ARKM,3.92,1.0074,0.00276,75000.0,0,75000.0,75000.0,True,✅ AVAILABLE,84.555243,1.0074,OKX,2.9126,2026-02-05 13:53:09
EGLD,3.65,1.0074,0.00276,1200.0,0,1200.0,1200.0,True,✅ AVAILABLE,154.74098715,1.0074,OKX,2.6426,2026-02-05 13:53:09
XPL,3.54,1.0074,0.00276,84000.0,0,84000.0,84000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,2.5326,2026-02-05 13:53:09
TON,3.1399999999999997,1.0074,0.00276,62000.0,0,62000.0,62000.0,True,✅ AVAILABLE,49.6956552,1.0074,OKX,2.1325999999999996,2026-02-05 13:53:09
WLD,3.0700000000000003,1.0074,0.00276,150000.0,0,150000.0,150000.0,True,✅ AVAILABLE,50.278093,1.0074,OKX,2.0626,2026-02-05 13:53:09
OM,3.05,1.0074,0.00276,0.0,0,0.0,0.0,False,❌ NOT AVAILABLE,125.71038365,1.0074,OKX,2.0425999999999997,2026-02-05 13:53:09
BIO,3.04,1.0074,0.00276,480000.0,0,480000.0,480000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,2.0326,2026-02-05 13:53:09
BOME,3.0300000000000002,1.0074,0.00276,20000000.0,0,20000000.0,20000000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,2.0226,2026-02-05 13:53:09
PENGU,2.83,1.0074,0.00276,5200000.0,0,5200000.0,5200000.0,True,✅ AVAILABLE,167.35070055,1.0074,OKX,1.8226,2026-02-05 13:53:09
MAGIC,8.799999999999999,7.008,0.019200000000000002,78000.0,0,78000.0,78000.0,True,✅ AVAILABLE,215.06211355,7.008,OKX,1.791999999999999,2026-02-05 13:53:09
APE,2.76,1.0074,0.00276,125000.0,0,125000.0,125000.0,True,✅ AVAILABLE,56.80539165,1.0074,OKX,1.7525999999999997,2026-02-05 13:53:09
TRB,2.7,1.0074,0.00276,1100.0,0,1100.0,1100.0,True,✅ AVAILABLE,0.0,1.0074,OKX,1.6926,2026-02-05 13:53:09
COMP,2.6100000000000003,1.0074,0.00276,900.0,0,900.0,900.0,True,✅ AVAILABLE,168.83960125000002,1.0074,OKX,1.6026000000000002,2026-02-05 13:53:09
POL,2.59,1.0074,0.00276,280000.0,0,280000.0,280000.0,True,✅ AVAILABLE,48.25931815,1.0074,OKX,1.5825999999999998,2026-02-05 13:53:09
YGG,3.58,2.00604,0.005496,260000.0,0,260000.0,260000.0,True,✅ AVAILABLE,59.54684459999999,2.00604,OKX,1.57396,2026-02-05 13:53:09
GRT,2.4299999999999997,1.0074,0.00276,180000.0,0,180000.0,180000.0,True,✅ AVAILABLE,17.4296041,1.0074,OKX,1.4225999999999996,2026-02-05 13:53:09
IOST,2.41,1.0074,0.00276,12500000.0,0,12500000.0,12500000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,1.4026,2026-02-05 13:53:09
TIA,2.37,1.0074,0.00276,50000.0,0,50000.0,50000.0,True,✅ AVAILABLE,123.69065250000001,1.0074,OKX,1.3626,2026-02-05 13:53:09
HYPE,2.2800000000000002,1.0074,0.00276,5000.0,0,5000.0,5000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,1.2726000000000002,2026-02-05 13:53:09
SUSHI,2.21,1.0074,0.00276,100000.0,0,100000.0,100000.0,True,✅ AVAILABLE,41.21384725,1.0074,OKX,1.2026,2026-02-05 13:53:09
MOODENG,2.19,1.0074,0.00276,580000.0,0,580000.0,580000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,1.1825999999999999,2026-02-05 13:53:09
AVAX,2.19,1.0074,0.00276,15000.0,0,15000.0,15000.0,True,✅ AVAILABLE,28.3497471,1.0074,OKX,1.1825999999999999,2026-02-05 13:53:09
ALGO,2.07,1.0074,0.00276,320000.0,0,320000.0,320000.0,True,✅ AVAILABLE,14.3677724,1.0074,OKX,1.0625999999999998,2026-02-05 13:53:09
ETHFI,2.0,1.0074,0.00276,65000.0,0,65000.0,65000.0,True,✅ AVAILABLE,38.52687785,1.0074,OKX,0.9925999999999999,2026-02-05 13:53:09
W,1.97,1.0074,0.00276,500000.0,0,500000.0,500000.0,True,✅ AVAILABLE,42.39445435,1.0074,OKX,0.9625999999999999,2026-02-05 13:53:09
SUI,1.9300000000000002,1.0074,0.00276,1000000.0,0,1000000.0,1000000.0,True,✅ AVAILABLE,9.85713525,1.0074,OKX,0.9226000000000001,2026-02-05 13:53:09
VIRTUAL,1.9300000000000002,1.0074,0.00276,5000.0,0,5000.0,5000.0,True,✅ AVAILABLE,176.44986219999998,1.0074,OKX,0.9226000000000001,2026-02-05 13:53:09
NOT,1.77,1.0074,0.00276,40000000.0,0,40000000.0,40000000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,0.7626,2026-02-05 13:53:09
LINEA,1.6199999999999999,1.0074,0.00276,240000.0,0,240000.0,240000.0,True,✅ AVAILABLE,0.0,1.0074,OKX,0.6125999999999998,2026-02-05 13:53:09
SSV,1.6099999999999999,1.0074,0.00276,4250.0,0,4250.0,4250.0,True,✅ AVAILABLE,0.0,1.0074,OKX,0.6025999999999998,2026-02-05 13:53:09
STRK,1.5699999999999998,1.0074,0.00276,620000.0,0,620000.0,620000.0,True,✅ AVAILABLE,169.01207105,1.0074,OKX,0.5625999999999998,2026-02-05 13:53:09
LINK,1.5599999999999998,1.0074,0.00276,20000.0,0,20000.0,20000.0,True,✅ AVAILABLE,3.8861841999999998,1.0074,OKX,0.5525999999999998,2026-02-05 13:53:09
QTUM,1.5599999999999998,1.0074,0.00276,5800.0,0,5800.0,5800.0,True,✅ AVAILABLE,0.0,1.0074,OKX,0.5525999999999998,2026-02-05 13:53:09
PYTH,1.48,1.0074,0.00276,480000.0,0,480000.0,480000.0,True,✅ AVAILABLE,45.4785401,1.0074,OKX,0.4725999999999999,2026-02-05 13:53:09
NEAR,1.44,1.0074,0.00276,62000.0,0,62000.0,62000.0,True,✅ AVAILABLE,36.97812445,1.0074,OKX,0.4325999999999999,2026-02-05 13:53:09
MINA,1.4000000000000001,1.0074,0.00276,85000.0,0,85000.0,85000.0,True,✅ AVAILABLE,185.32168724999997,1.0074,OKX,0.39260000000000006,2026-02-05 13:53:09
